https://ja.wikipedia.org/wiki/JIS_X_0213%E6%BC%A2%E5%AD%97%E4%B8%80%E8%A6%A7%E3%81%AE2%E9%9D%A2
2面1区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
勷 	2-03-43 	0xF16A 	U+52F7 	第4水準 	
匊 	2-03-44 	0xF16B 	U+530A 	第4水準 	
匋 	2-03-45 	0xF16C 	U+530B 	第4水準 	
匤 	2-03-46 	0xF16D 	U+5324 	第4水準 	
匵 	2-03-47 	0xF16E 	U+5335 	第4水準 	
匾 	2-03-48 	0xF16F 	U+533E 	第4水準 	
卂 	2-03-49 	0xF170 	U+5342 	第4水準 	
𠥼 	2-03-50 	0xF171 	U+2097C 	第4水準 	
𠦝 	2-03-51 	0xF172 	U+2099D 	第4水準 	
卧 	2-03-52 	0xF173 	U+5367 	第4水準 	
卬 	2-03-53 	0xF174 	U+536C 	第4水準 	
卺 	2-03-54 	0xF175 	U+537A 	第4水準 	
厤 	2-03-55 	0xF176 	U+53A4 	第4水準 	
厴 	2-03-56 	0xF177 	U+53B4 	第4水準 	
𠫓 	2-03-57 	0xF178 	U+20AD3 	第4水準 	
厷 	2-03-58 	0xF179 	U+53B7 	第4水準 	
叀 	2-03-59 	0xF17A 	U+53C0 	第4水準 	
𠬝 	2-03-60 	0xF17B 	U+20B1D 	第4水準 	
㕝 	2-03-61 	0xF17C 	U+355D 	第4水準 	
㕞 	2-03-62 	0xF17D 	U+355E 	第4水準 	
叕 	2-03-63 	0xF17E 	U+53D5 	第4水準 	
叚 	2-03-64 	0xF180 	U+53DA 	第4水準 	
㕣 	2-03-65 	0xF181 	U+3563 	第4水準 	
叴 	2-03-66 	0xF182 	U+53F4 	第4水準 	
叵 	2-03-67 	0xF183 	U+53F5 	第4水準 	
呕 	2-03-68 	0xF184 	U+5455 	第4水準 	
吤 	2-03-69 	0xF185 	U+5424 	第4水準 	
吨 	2-03-70 	0xF186 	U+5428 	第4水準 	
㕮 	2-03-71 	0xF187 	U+356E 	第4水準 	
呃 	2-03-72 	0xF188 	U+5443 	第4水準 	
呢 	2-03-73 	0xF189 	U+5462 	第4水準 	
呦 	2-03-74 	0xF18A 	U+5466 	第4水準 	
呬 	2-03-75 	0xF18B 	U+546C 	第4水準 	
咊 	2-03-76 	0xF18C 	U+548A 	第4水準 	
咍 	2-03-77 	0xF18D 	U+548D 	第4水準 	
咕 	2-03-78 	0xF18E 	U+5495 	第4水準 	
咠 	2-03-79 	0xF18F 	U+54A0 	第4水準 	
咦 	2-03-80 	0xF190 	U+54A6 	第4水準 	
咭 	2-03-81 	0xF191 	U+54AD 	第4水準 	
咮 	2-03-82 	0xF192 	U+54AE 	第4水準 	
咷 	2-03-83 	0xF193 	U+54B7 	第4水準 	
咺 	2-03-84 	0xF194 	U+54BA 	第4水準 	
咿 	2-03-85 	0xF195 	U+54BF 	第4水準 	
哃 	2-03-86 	0xF196 	U+54C3 	第4水準 	
𠵅 	2-03-87 	0xF197 	U+20D45 	第4水準 	
哬 	2-03-88 	0xF198 	U+54EC 	第4水準 	
哯 	2-03-89 	0xF199 	U+54EF 	第4水準 	
哱 	2-03-90 	0xF19A 	U+54F1 	第4水準 	
哳 	2-03-91 	0xF19B 	U+54F3 	第4水準 	
唀 	2-03-92 	0xF19C 	U+5500 	第4水準 	
唁 	2-03-93 	0xF19D 	U+5501 	第4水準 	
唉 	2-03-94 	0xF19E 	U+5509 	第4水準 	
2面4区
文字 	面区点 	Shift_JIS-2004 	Unicode 	水準 	備考
唼 	2-04-01 	0xF19F 	U+553C 	第4水準 	
啁 	2-04-02 	0xF1A0 	U+5541 	第4水準 	
㖦 	2-04-03 	0xF1A1 	U+35A6 	第4水準 	
啇 	2-04-04 	0xF1A2 	U+5547 	第4水準 	
啊 	2-04-05 	0xF1A3 	U+554A 	第4水準 	
㖨 	2-04-06 	0xF1A4 	U+35A8 	第4水準 	
啠 	2-04-07 	0xF1A5 	U+5560 	第4水準 	
啡 	2-04-08 	0xF1A6 	U+5561 	第4水準 	
啤 	2-04-09 	0xF1A7 	U+5564 	第4水準 	
𠷡 	2-04-10 	0xF1A8 	U+20DE1 	第4水準 	
啽 	2-04-11 	0xF1A9 	U+557D 	第4水準 	
喂 	2-04-12 	0xF1AA 	U+5582 	第4水準 	
喈 	2-04-13 	0xF1AB 	U+5588 	第4水準 	
喑 	2-04-14 	0xF1AC 	U+5591 	第4水準 	
㗅 	2-04-15 	0xF1AD 	U+35C5 	第4水準 	
嗒 	2-04-16 	0xF1AE 	U+55D2 	第4水準 	
𠺕 	2-04-17 	0xF1AF 	U+20E95 	第4水準 	
𠹭 	2-04-18 	0xF1B0 	U+20E6D 	第4水準 	
喿 	2-04-19 	0xF1B1 	U+55BF 	第4水準 	
嗉 	2-04-20 	0xF1B2 	U+55C9 	第4水準 	
嗌 	2-04-21 	0xF1B3 	U+55CC 	第4水準 	
嗑 	2-04-22 	0xF1B4 	U+55D1 	第4水準 	
嗝 	2-04-23 	0xF1B5 	U+55DD 	第4水準 	
㗚 	2-04-24 	0xF1B6 	U+35DA 	第4水準 	
嗢 	2-04-25 	0xF1B7 	U+55E2 	第4水準 	
𠹤 	2-04-26 	0xF1B8 	U+20E64 	第4水準 	
嗩 	2-04-27 	0xF1B9 	U+55E9 	第4水準 	
嘨 	2-04-28 	0xF1BA 	U+5628 	第4水準 	
𠽟 	2-04-29 	0xF1BB 	U+20F5F 	第4水準 	
嘇 	2-04-30 	0xF1BC 	U+5607 	第4水準 	
嘐 	2-04-31 	0xF1BD 	U+5610 	第4水準 	
嘰 	2-04-32 	0xF1BE 	U+5630 	第4水準 	
嘷 	2-04-33 	0xF1BF 	U+5637 	第4水準 	
㗴 	2-04-34 	0xF1C0 	U+35F4 	第4水準 	
嘽 	2-04-35 	0xF1C1 	U+563D 	第4水準 	
嘿 	2-04-36 	0xF1C2 	U+563F 	第4水準 	
噀 	2-04-37 	0xF1C3 	U+5640 	第4水準 	
噇 	2-04-38 	0xF1C4 	U+5647 	第4水準 	
噞 	2-04-39 	0xF1C5 	U+565E 	第4水準 	
噠 	2-04-40 	0xF1C6 	U+5660 	第4水準 	
噭 	2-04-41 	0xF1C7 	U+566D 	第4水準 	
㘅 	2-04-42 	0xF1C8 	U+3605 	第4水準 	
嚈 	2-04-43 	0xF1C9 	U+5688 	第4水準 	
嚌 	2-04-44 	0xF1CA 	U+568C 	第4水準 	
嚕 	2-04-45 	0xF1CB 	U+5695 	第4水準 	
嚚 	2-04-46 	0xF1CC 	U+569A 	第4水準 	
嚝 	2-04-47 	0xF1CD 	U+569D 	第4水準 	
嚨 	2-04-48 	0xF1CE 	U+56A8 	第4水準 	
嚭 	2-04-49 	0xF1CF 	U+56AD 	第4水準 	
嚲 	2-04-50 	0xF1D0 	U+56B2 	第4水準 	
囅 	2-04-51 	0xF1D1 	U+56C5 	第4水準 	
囍 	2-04-52 	0xF1D2 	U+56CD 	第4水準 	
囟 	2-04-53 	0xF1D3 	U+56DF 	第4水準 	
囨 	2-04-54 	0xF1D4 	U+56E8 	第4水準 	
囶 	2-04-55 	0xF1D5 	U+56F6 	第4水準 	
囷 	2-04-56 	0xF1D6 	U+56F7 	第4水準 	
